Train loss,Val loss,Train class accuracy,Train No object accuracy,Train object accuracy,Val class accuracy,Val No object accuracy,Val object accuracy,mAP
1.36721468,2.962963854,95.2525,99.9309,82.4242,87.9365,99.9529,68.254,0.574
1.467218438,2.795755148,95.9473,99.9278,83.8906,85.9813,99.9378,67.2897,0.6546
1.552631798,2.739905596,93.578,99.9312,77.37,87.5758,99.9487,65.7576,0.6349
1.51526513,2.584980522,93.921,99.9551,73.8602,86.6667,99.9672,62.5397,0.6449
1.45954144,3.086276633,93.8462,99.931,80.9231,88.8889,99.942,72.0635,0.6432
1.535694874,2.725248746,95.569,99.9262,85.6999,86.4198,99.9363,71.9136,0.6818
1.372444935,2.351963912,95.0617,99.9266,86.214,88.2716,99.9371,76.2346,0.7201
1.355533006,3.026126351,96.6154,99.9326,82.8718,86.478,99.951,65.7233,0.6415
1.408303266,2.835786479,94.8875,99.9212,84.5603,84.9359,99.9419,68.2692,0.6358
1.314427093,3.004789114,95.8848,99.9497,81.6872,86.7924,99.9628,65.0943,0.5393
1.315393746,2.727074896,97.0256,99.94,80.4103,86.478,99.957,67.9245,0.6277
1.315341822,3.006226812,95.0505,99.9227,83.1313,88.3648,99.9422,68.239,0.6115
1.616389954,3.336880514,94.4612,99.9023,84.1893,81.6514,99.9348,69.1131,0.4328
1.316262484,3.034791367,95.3988,99.941,82.0041,85.3968,99.9522,69.8413,0.599
1.328301435,2.784343515,95.5823,99.9468,78.2129,88.3792,99.9647,62.0795,0.5064
1.349564959,2.398882696,94.1767,99.9351,83.2329,86.7987,99.9564,68.9769,0.6131
1.183528359,2.789208378,96.8205,99.9233,86.1538,86.6667,99.938,68.1818,0.6075
1.296176625,3.13369986,95.3704,99.9362,88.2716,84.2949,99.9482,73.7179,0.4838
1.204966851,2.979062847,95.4128,99.925,86.9521,89.9371,99.9378,73.8994,0.6272
1.294162579,2.821921638,95.7557,99.9422,78.9855,87.6543,99.9485,69.1358,0.5973
1.179060573,2.908721685,95.8586,99.9452,81.9192,84.1424,99.9549,68.932,0.5754
1.162392886,3.301605804,94.8012,99.9268,82.4669,83.6478,99.9459,70.1258,0.4777
1.286222505,3.901223574,93.2528,99.9413,73.9174,83.0189,99.9598,61.9497,0.4894
1.494623145,2.768963626,95.4268,99.9258,83.435,85.4938,99.9335,71.2963,0.6134
1.362727497,3.057150534,96.748,99.9327,81.7073,85.4938,99.9489,67.5926,0.7109
1.299180803,2.7946855,96.5278,99.9342,82.6389,86.3636,99.9512,70,0.7199
1.334832207,2.983901313,95.7447,99.9475,81.9656,89.6226,99.9544,70.4403,0.6738
1.432126628,3.203721115,95.6434,99.9185,80.6484,88.254,99.9393,67.3016,0.5256
1.121243495,2.936881321,96.0245,99.9332,83.3843,86.4198,99.9393,69.4444,0.6125
1.332720744,2.961263588,94.8949,99.9228,83.6837,87.3874,99.9357,64.5646,0.6039
1.259282654,3.05124167,93.9122,99.9515,80.7385,85.2201,99.9569,68.239,0.5264
